ID,DateTime,Category,Sub_Category,Account,To_Account,Type,Amount
1773856168613,2026-03-18 23:19,Income,samantha poli,Cash,,Income,10000.0
1773856217979,2026-03-18 23:20,Income,vi vikunapu,Cash,,Income,99720.0
